Underlying Cause of Death, 2022, age 0-19, Injury Mechanism: by Intent, Urbanization
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,2013 Urbanization,2013 Urbanization Code,Deaths
,Firearm,GRINJ-006,Unintentional,1,NonCore (Nonmetro),6,31
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,31
,Fire/Flame,GRINJ-004,Unintentional,1,Small Metro,4,30
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,30
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,Medium Metro,3,30
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,30
,Firearm,GRINJ-006,Unintentional,1,Large Central Metro,1,29
,Other land transport,GRINJ-011,Unintentional,1,Small Metro,4,29
,Fire/Flame,GRINJ-004,Unintentional,1,NonCore (Nonmetro),6,28
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,Large Central Metro,1,28
,Fall,GRINJ-003,Suicide,2,Large Fringe Metro,2,27
,Unspecified Injury,GRINJ-020,Homicide,3,Micropolitan (Nonmetro),5,27
,Poisoning,GRINJ-015,Homicide,3,Large Central Metro,1,26
,Unspecified Injury,GRINJ-020,Homicide,3,Small Metro,4,26
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,Large Fringe Metro,2,26
,Poisoning,GRINJ-015,Suicide,2,Small Metro,4,25
,Non-Injury: Anemias,GR113-045,"Non-Injury, no intent classified",9,Large Central Metro,1,24
,Other Pedestrian,GRINJ-010,Unintentional,1,Large Fringe Metro,2,23
,Natural/Environmental,GRINJ-013,Unintentional,1,Large Central Metro,1,23
,Non-Injury: Anemias,GR113-045,"Non-Injury, no intent classified",9,Medium Metro,3,23
,Suffocation,GRINJ-017,Homicide,3,Large Fringe Metro,2,22
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,Medium Metro,3,22
,Non-Injury: Complications of medical and surgical care,GR113-135,"Non-Injury, no intent classified",9,Large Central Metro,1,22
,Fall,GRINJ-003,Unintentional,1,Medium Metro,3,21
,Other transport,GRINJ-012,Unintentional,1,Large Fringe Metro,2,21
,Poisoning,GRINJ-015,Suicide,2,Micropolitan (Nonmetro),5,21
,Poisoning,GRINJ-015,Homicide,3,Medium Metro,3,21
,Cut/Pierce,GRINJ-001,Homicide,3,Large Fringe Metro,2,20
,Firearm,GRINJ-006,Unintentional,1,Large Fringe Metro,2,20
,Other land transport,GRINJ-011,Unintentional,1,Large Central Metro,1,20
,Natural/Environmental,GRINJ-013,Unintentional,1,Large Fringe Metro,2,20
,Natural/Environmental,GRINJ-013,Unintentional,1,NonCore (Nonmetro),6,20
,Poisoning,GRINJ-015,Homicide,3,Large Fringe Metro,2,20
,"Other specified, not elsewhere classified Injury",GRINJ-019,Unintentional,1,Large Central Metro,1,20
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,20
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,20
,Fall,GRINJ-003,Suicide,2,Medium Metro,3,19
,Firearm,GRINJ-006,Undetermined ,4,Medium Metro,3,19
,"Other specified, classifiable Injury",GRINJ-018,Unintentional,1,Large Central Metro,1,19
,"Other specified, not elsewhere classified Injury",GRINJ-019,Homicide,3,Medium Metro,3,19
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,Small Metro,4,19
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,Medium Metro,3,19
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,19
,Other Pedestrian,GRINJ-010,Unintentional,1,Large Central Metro,1,18
,Struck by or against,GRINJ-016,Unintentional,1,Medium Metro,3,18
,Struck by or against,GRINJ-016,Unintentional,1,Micropolitan (Nonmetro),5,18
,Suffocation,GRINJ-017,Homicide,3,Medium Metro,3,18
,"Other specified, classifiable Injury",GRINJ-018,Suicide,2,Large Fringe Metro,2,18
,"Other specified, not elsewhere classified Injury",GRINJ-019,Homicide,3,Large Central Metro,1,18
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,Large Fringe Metro,2,18
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,Small Metro,4,18
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,18
,Firearm,GRINJ-006,Unintentional,1,Micropolitan (Nonmetro),5,17
,Firearm,GRINJ-006,Undetermined ,4,Large Fringe Metro,2,17
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,Large Fringe Metro,2,17
,Unspecified Injury,GRINJ-020,Undetermined ,4,Large Central Metro,1,17
,Non-Injury: Anemias,GR113-045,"Non-Injury, no intent classified",9,Large Fringe Metro,2,17
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,17
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,Large Central Metro,1,17
,Other Pedestrian,GRINJ-010,Unintentional,1,Medium Metro,3,16
,Other Pedestrian,GRINJ-010,Unintentional,1,NonCore (Nonmetro),6,16
,Natural/Environmental,GRINJ-013,Unintentional,1,Medium Metro,3,16
,Unspecified Injury,GRINJ-020,Homicide,3,NonCore (Nonmetro),6,16
,Firearm,GRINJ-006,Unintentional,1,Small Metro,4,15
,"Other specified, classifiable Injury",GRINJ-018,Unintentional,1,Medium Metro,3,15
,Non-Injury: Meningitis,GR113-050,"Non-Injury, no intent classified",9,NonCore (Nonmetro),6,15
,Non-Injury: Other diseases of the circulatory system,GR113 073-074,"Non-Injury, no intent classified",9,Large Fringe Metro,2,15
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,15
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,Large Fringe Metro,2,15
,Fall,GRINJ-003,Unintentional,1,Large Fringe Metro,2,14
,Poisoning,GRINJ-015,Undetermined ,4,Small Metro,4,14
,Non-Injury: Other acute lower respiratory infections,GR113 079,"Non-Injury, no intent classified",9,Large Fringe Metro,2,14
,Other land transport,GRINJ-011,Suicide,2,Large Fringe Metro,2,13
,Poisoning,GRINJ-015,Undetermined ,4,NonCore (Nonmetro),6,13
,"Other specified, classifiable Injury",GRINJ-018,Suicide,2,Large Central Metro,1,13
,"Other specified, classifiable Injury",GRINJ-018,Suicide,2,Medium Metro,3,13
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,13
,Non-Injury: Other diseases of the circulatory system,GR113 073-074,"Non-Injury, no intent classified",9,Large Central Metro,1,13
,Suffocation,GRINJ-017,Undetermined ,4,Large Central Metro,1,12
,Suffocation,GRINJ-017,Undetermined ,4,Large Fringe Metro,2,12
,Suffocation,GRINJ-017,Undetermined ,4,Medium Metro,3,12
,"Other specified, not elsewhere classified Injury",GRINJ-019,Unintentional,1,Medium Metro,3,12
,Unspecified Injury,GRINJ-020,Undetermined ,4,Medium Metro,3,12
,Non-Injury: Other disorders of circulatory system,GR113-075,"Non-Injury, no intent classified",9,Large Central Metro,1,12
,Fall,GRINJ-003,Suicide,2,Small Metro,4,11
,Other Pedestrian,GRINJ-010,Unintentional,1,Small Metro,4,11
,Other Pedestrian,GRINJ-010,Unintentional,1,Micropolitan (Nonmetro),5,11
,Other transport,GRINJ-012,Unintentional,1,Large Central Metro,1,11
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,Small Metro,4,11
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,NonCore (Nonmetro),6,11
,Unspecified Injury,GRINJ-020,Unintentional,1,Large Central Metro,1,11
,Unspecified Injury,GRINJ-020,Unintentional,1,Large Fringe Metro,2,11
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,Small Metro,4,11
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,11
,Non-Injury: Other acute lower respiratory infections,GR113 079,"Non-Injury, no intent classified",9,Large Central Metro,1,11
,Non-Injury: Pneumonitis due to solids and liquids,GR113-088,"Non-Injury, no intent classified",9,Large Fringe Metro,2,11
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,Medium Metro,3,11
,Non-Injury: Complications of medical and surgical care,GR113-135,"Non-Injury, no intent classified",9,Large Fringe Metro,2,11
,Fall,GRINJ-003,Unintentional,1,Micropolitan (Nonmetro),5,10
,Fall,GRINJ-003,Unintentional,1,NonCore (Nonmetro),6,10
,Firearm,GRINJ-006,Undetermined ,4,NonCore (Nonmetro),6,10
,Firearm,GRINJ-006,Legal Intervention / Operations of War,5,Large Central Metro,1,10
,Natural/Environmental,GRINJ-013,Unintentional,1,Small Metro,4,10
,Natural/Environmental,GRINJ-013,Unintentional,1,Micropolitan (Nonmetro),5,10
,Struck by or against,GRINJ-016,Unintentional,1,Large Central Metro,1,10
,Struck by or against,GRINJ-016,Unintentional,1,Small Metro,4,10
,"Other specified, classifiable Injury",GRINJ-018,Unintentional,1,Small Metro,4,10
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,Micropolitan (Nonmetro),5,10
,Unspecified Injury,GRINJ-020,Unintentional,1,Medium Metro,3,10
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,Micropolitan (Nonmetro),5,10
---,,,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,,,
Query Parameters:,,,,,,,
Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;,,,,,,,
12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years,,,,,,,
Year/Month: 2023,,,,,,,
Group By: Injury Mechanism & All Other Leading Causes; Injury Intent; 2013 Urbanization,,,,,,,
Show Totals: Disabled,,,,,,,
Show Zero Values: False,,,,,,,
Show Suppressed: False,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,
---,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,,,
---,,,,,,,
"Query Date: Apr 27, 2025 1:49:24 AM",,,,,,,
---,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,,,
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Apr 27, 2025 1:49:24 AM",,,,,,,
---,,,,,,,
Messages:,,,,,,,
"1. Selections made to any variable in [Injury Intent, Injury Mechanism & All Other Leading Causes] cause equivalent selections",,,,,,,
in the other variables. More Information: http://wonder.cdc.gov/wonder/help/faq.html#related-variables.,,,,,,,
2. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,
3. Population and Rates are not available when values are selected for Single-Year Ages or Ten-Year Age Groups in section 3 or,,,,,,,
"they appear in Group Results By list in section 1, and county level locations, including urbanization categories and US-Mexico",,,,,,,
"Border areas, are selected in section 2, or when County, US-Mexico Border areas, or Urbanization appears in the Group Results By",,,,,,,
"list in section 1. Population, Rates and related measures have been removed from the results. More information#",,,,,,,
4. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows.,,,,,,,
5. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,,,,,,
---,,,,,,,
Caveats:,,,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,,,
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,",,,,,,,
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:",,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated.,,,,,,,
"3. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023",,,,,,,
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced",,,,,,,
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend",,,,,,,
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data",,,,,,,
from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1,,,,,,,
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is",,,,,,,
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The",,,,,,,
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic",,,,,,,
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are",,,,,,,
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of",,,,,,,
