Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,8 years,8,52,4110498,1.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,18 years,18,54,4357485,1.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,1 year,1,44,3694222,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,4 years,4,45,3808594,1.2
,Poisoning,GRINJ-015,Suicide,2,18 years,18,51,4357485,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,5 years,5,44,3896077,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,16 years,16,50,4465940,1.1
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,1 year,1,41,3694222,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,7 years,7,45,4075558,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,14 years,14,47,4308273,1.1
,Poisoning,GRINJ-015,Undetermined ,4,1 year,1,40,3694222,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,6 years,6,43,3972997,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,10 years,10,42,4083444,1.0
,Suffocation,GRINJ-017,Unintentional,1,2 years,2,37,3611883,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,8 years,8,42,4110498,1.0
,Poisoning,GRINJ-015,Unintentional,1,14 years,14,43,4308273,1.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,19 years,19,43,4384615,1.0
,Drowning,GRINJ-002,Unintentional,1,17 years,17,43,4395048,1.0
,Poisoning,GRINJ-015,Unintentional,1,1 year,1,36,3694222,1.0
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,1 year,1,36,3694222,1.0
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,2 years,2,35,3611883,1.0
,Suffocation,GRINJ-017,Suicide,2,12 years,12,39,4134024,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,16 years,16,42,4465940,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,17 years,17,40,4395048,0.9
,Poisoning,GRINJ-015,Suicide,2,17 years,17,39,4395048,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,2 years,2,32,3611883,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,9 years,9,36,4097627,0.9
,Firearm,GRINJ-006,Homicide,3,12 years,12,36,4134024,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,12 years,12,36,4134024,0.9
,Poisoning,GRINJ-015,Homicide,3,1 year,1,32,3694222,0.9
,Drowning,GRINJ-002,Unintentional,1,6 years,6,34,3972997,0.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,13 years,13,36,4219014,0.9
,Suffocation,GRINJ-017,Undetermined ,4,< 1 year,0,31,3648654,0.8
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,"Non-Injury, no intent classified",9,< 1 year,0,31,3648654,0.8
,Drowning,GRINJ-002,Unintentional,1,16 years,16,37,4465940,0.8
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,3 years,3,31,3747807,0.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,3 years,3,31,3747807,0.8
,Fall,GRINJ-003,Suicide,2,19 years,19,36,4384615,0.8
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,4 years,4,31,3808594,0.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,15 years,15,36,4472392,0.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,15 years,15,36,4472392,0.8
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,< 1 year,0,29,3648654,0.8
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,3 years,3,29,3747807,0.8
