Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,< 1 year,0,Male,M,29,1864508,1.6
,"Other specified, classifiable Injury",GRINJ-018,< 1 year,0,Female,F,29,1784146,1.6
,"Other specified, classifiable Injury",GRINJ-018,< 1 year,0,Male,M,29,1864508,1.6
,Drowning,GRINJ-002,< 1 year,0,Male,M,28,1864508,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,6 years,6,Female,F,28,1940157,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,5 years,5,Male,M,28,1991400,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,7 years,7,Male,M,28,2082645,1.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,16 years,16,Male,M,28,2287751,1.2
,Non-Injury: Diseases of Heart,GR113 055-068,18 years,18,Female,F,28,2128851,1.3
,Non-Injury: Meningitis,GR113-050,< 1 year,0,Female,F,28,1784146,1.6
,Motor Vehicle Traffic,GRINJ-008,2 years,2,Female,F,27,1764724,1.5
,Motor Vehicle Traffic,GRINJ-008,6 years,6,Female,F,27,1940157,1.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,4 years,4,Male,M,27,1944687,1.4
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,2 years,2,Male,M,27,1847159,1.5
,Firearm,GRINJ-006,10 years,10,Male,M,26,2086861,1.2
,Motor Vehicle Traffic,GRINJ-008,10 years,10,Female,F,26,1996583,1.3
,Non-Injury: All other diseases (Residual),GR113-111,12 years,12,Female,F,26,2013129,1.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,12 years,12,Male,M,26,2120895,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,14 years,14,Male,M,26,2205676,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,19 years,19,Male,M,26,2241042,1.2
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,19 years,19,Female,F,26,2143573,1.2
,Drowning,GRINJ-002,15 years,15,Male,M,25,2290485,1.1
,Unspecified Injury,GRINJ-020,1 year,1,Male,M,25,1887461,1.3
,Cut/Pierce,GRINJ-001,19 years,19,Male,M,24,2241042,1.1
,Drowning,GRINJ-002,< 1 year,0,Female,F,24,1784146,1.3
,Fall,GRINJ-003,17 years,17,Male,M,24,2248723,1.1
,Motor Vehicle Traffic,GRINJ-008,4 years,4,Female,F,24,1863907,1.3
,Motor Vehicle Traffic,GRINJ-008,6 years,6,Male,M,24,2032840,1.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,8 years,8,Male,M,24,2099576,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,18 years,18,Female,F,24,2128851,1.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,17 years,17,Male,M,24,2248723,1.1
