Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Non-Injury: Influenza & Pneumonia,GR113 077-078,14 years,14,15,4308273,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,11 years,11,15,4089809,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,11 years,11,15,4089809,Unreliable
,Fire/Flame,GRINJ-004,9 years,9,15,4097627,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,8 years,8,15,4110498,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,6 years,6,15,3972997,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,6 years,6,15,3972997,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,5 years,5,15,3896077,Unreliable
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,1 year,1,15,3694222,Unreliable
,Firearm,GRINJ-006,< 1 year,0,15,3648654,Unreliable
,Natural/Environmental,GRINJ-013,< 1 year,0,15,3648654,Unreliable
,Fire/Flame,GRINJ-004,19 years,19,14,4384615,Unreliable
,Non-Injury: Septicemia,GR113-010,19 years,19,14,4384615,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,18 years,18,14,4357485,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,17 years,17,14,4395048,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,16 years,16,14,4465940,Unreliable
,Fire/Flame,GRINJ-004,14 years,14,14,4308273,Unreliable
,Drowning,GRINJ-002,9 years,9,14,4097627,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,9 years,9,14,4097627,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,9 years,9,14,4097627,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,2 years,2,14,3611883,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,19 years,19,13,4384615,Unreliable
,Fire/Flame,GRINJ-004,18 years,18,13,4357485,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,17 years,17,13,4395048,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,16 years,16,13,4465940,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,16 years,16,13,4465940,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,16 years,16,13,4465940,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,14 years,14,13,4308273,Unreliable
