Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,13 years,13,Male,M,54,2161119,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,2 years,2,Male,M,46,1847159,2.5
,Drowning,GRINJ-002,Unintentional,1,19 years,19,Male,M,55,2241042,2.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,12 years,12,Male,M,52,2120895,2.5
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,11 years,11,Male,M,51,2093367,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,13 years,13,Female,F,50,2057895,2.4
,Drowning,GRINJ-002,Unintentional,1,18 years,18,Male,M,54,2228634,2.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,< 1 year,0,Male,M,45,1864508,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,12 years,12,Male,M,51,2120895,2.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,3 years,3,Male,M,46,1915584,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,12 years,12,Female,F,48,2013129,2.4
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,1 year,1,Female,F,43,1806761,2.4
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,5 years,5,Male,M,47,1991400,2.4
,Unspecified Injury,GRINJ-020,Homicide,3,< 1 year,0,Female,F,42,1784146,2.4
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,42,1784146,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,8 years,8,Female,F,47,2010922,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,14 years,14,Female,F,49,2102597,2.3
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,14 years,14,Female,F,49,2102597,2.3
,Drowning,GRINJ-002,Unintentional,1,2 years,2,Female,F,41,1764724,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,8 years,8,Male,M,48,2099576,2.3
,Suffocation,GRINJ-017,Suicide,2,15 years,15,Male,M,52,2290485,2.3
,Suffocation,GRINJ-017,Suicide,2,18 years,18,Female,F,48,2128851,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,18 years,18,Female,F,48,2128851,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,11 years,11,Female,F,45,1996442,2.3
,Suffocation,GRINJ-017,Suicide,2,13 years,13,Female,F,46,2057895,2.2
,Drowning,GRINJ-002,Unintentional,1,3 years,3,Female,F,40,1832223,2.2
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,3 years,3,Female,F,40,1832223,2.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,14 years,14,Male,M,48,2205676,2.2
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,4 years,4,Female,F,40,1863907,2.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,17 years,17,Female,F,46,2146325,2.1
,Suffocation,GRINJ-017,Unintentional,1,1 year,1,Male,M,40,1887461,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,10 years,10,Male,M,44,2086861,2.1
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,19 years,19,Male,M,47,2241042,2.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,3 years,3,Male,M,40,1915584,2.1
,Firearm,GRINJ-006,Suicide,2,13 years,13,Male,M,45,2161119,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,12 years,12,Male,M,44,2120895,2.1
,Suffocation,GRINJ-017,Suicide,2,16 years,16,Female,F,45,2178189,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,7 years,7,Female,F,41,1992913,2.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,10 years,10,Female,F,41,1996583,2.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,4 years,4,Female,F,38,1863907,2.0
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,38,1864508,2.0
,Firearm,GRINJ-006,Homicide,3,16 years,16,Female,F,44,2178189,2.0
,Drowning,GRINJ-002,Unintentional,1,5 years,5,Male,M,40,1991400,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,4 years,4,Male,M,39,1944687,2.0
,Firearm,GRINJ-006,Homicide,3,13 years,13,Male,M,43,2161119,2.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,7 years,7,Male,M,41,2082645,2.0
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,3 years,3,Female,F,36,1832223,2.0
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,19 years,19,Male,M,44,2241042,2.0
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,1 year,1,Male,M,37,1887461,2.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,11 years,11,Male,M,41,2093367,2.0
,Suffocation,GRINJ-017,Suicide,2,14 years,14,Male,M,43,2205676,1.9
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,8 years,8,Female,F,39,2010922,1.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,6 years,6,Male,M,39,2032840,1.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,10 years,10,Female,F,38,1996583,1.9
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,13 years,13,Female,F,39,2057895,1.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,10 years,10,Male,M,39,2086861,1.9
,Suffocation,GRINJ-017,Suicide,2,17 years,17,Female,F,40,2146325,1.9
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,14 years,14,Female,F,39,2102597,1.9
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,1 year,1,Male,M,35,1887461,1.9
,Suffocation,GRINJ-017,Unintentional,1,1 year,1,Female,F,33,1806761,1.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,2 years,2,Female,F,32,1764724,1.8
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,4 years,4,Male,M,35,1944687,1.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,4 years,4,Male,M,35,1944687,1.8
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,< 1 year,0,Female,F,32,1784146,1.8
