Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Diseases of Heart,GR113 055-068,Asian,A,Male,M,12,2477040,Unreliable
,Non-Injury: Other acute lower respiratory infections,GR113 079,White,2106-3,Female,F,12,28069688,Unreliable
,Non-Injury: Pneumonitis due to solids and liquids,GR113-088,White,2106-3,Male,M,12,29519218,Unreliable
,Cut/Pierce,GRINJ-001,Black or African American,2054-5,Female,F,11,6224035,Unreliable
,Other Pedestrian,GRINJ-010,Black or African American,2054-5,Male,M,11,6401519,Unreliable
,Non-Injury: Septicemia,GR113-010,Asian,A,Female,F,11,2357677,Unreliable
,Non-Injury: Septicemia,GR113-010,More than one race,M,Female,F,11,2370648,Unreliable
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Black or African American,2054-5,Male,M,11,6401519,Unreliable
,Non-Injury: Other disorders of circulatory system,GR113-075,White,2106-3,Male,M,11,29519218,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Native Hawaiian or Other Pacific Islander,NHOPI,Female,F,11,135743,Unreliable
,Natural/Environmental,GRINJ-013,Black or African American,2054-5,Female,F,10,6224035,Unreliable
,Unspecified Injury,GRINJ-020,More than one race,M,Female,F,10,2370648,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,American Indian or Alaska Native,1002-5,Male,M,10,715993,Unreliable
,Non-Injury: Meningitis,GR113-050,Black or African American,2054-5,Female,F,10,6224035,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Asian,A,Female,F,10,2357677,Unreliable
,Non-Injury: Complications of medical and surgical care,GR113-135,Black or African American,2054-5,Female,F,10,6224035,Unreliable
---,,,,,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,,,,,
Query Parameters:,,,,,,,,,
Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;,,,,,,,,,
12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years,,,,,,,,,
Year/Month: 2023,,,,,,,,,
Group By: Injury Mechanism & All Other Leading Causes; Single Race 6; Sex,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Apr 26, 2025 7:12:19 PM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,,,,,
